出生年份,问题,同意,反对,强烈同意,强烈反对
1974, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,237,245,187,73
1974, 西方的多党制不适合中国国情。,198,395,32,117
1974, 在中国照搬西方式的言论自由会导致社会失序。,314,261,104,63
1974, 由高校自主考试招生比全国统一考试招生更好。,264,219,191,68
1974, 应该容许宗教人士在非宗教场所公开传教。,295,269,43,135
1974, 无论中小学生或大学生，都应参加由国家统一安排的军训。,280,231,88,143
1974, 国家的统一和领土完整是社会的最高利益。,269,229,154,90
1974, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,330,299,21,92
1974, 国家有义务进行对外援助。,245,298,40,159
1974, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,369,199,105,69
1974, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,278,304,76,84
1974, 应当允许媒体代表某一特定阶层或利益集团发言。,293,253,38,158
1974, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,293,244,142,63
1974, 条件允许的话应该武力统一台湾。,237,310,126,69
1974, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,243,205,172,122
1974, 应该允许中国公民同时具有外国国籍。,241,344,115,42
1974, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,115,489,28,110
1974, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,288,166,232,56
1974, 最低工资应由国家规定。,209,357,68,108
1974, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,397,275,48,22
1974, 在重大工程项目的决策中，个人利益应该为社会利益让路。,355,255,33,99
1974, 浪费粮食也是个人的自由。,254,358,41,89
1974, 如果猪肉价格过高，政府应当干预。,263,282,39,158
1974, 应当对国外同类产品征收高额关税来保护国内民族工业。,201,336,27,178
1974, 教育应当尽可能公立。,211,336,59,136
1974, 国有企业的利益属于国家利益。,393,221,98,30
1974, 试图控制房地产价格的行为会破坏经济发展。,145,417,43,137
1974, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,213,290,208,31
1974, 有钱人理应获得更好的医疗服务。,172,420,62,88
1974, 高收入者应该公开自己的经济来源。,205,303,173,61
1974, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,339,217,86,100
1974, 与其让国有企业亏损破产，不如转卖给资本家。,171,349,33,189
1974, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,383,238,73,48
1974, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,255,350,52,85
1974, 私人应当可以拥有和买卖土地。,277,238,168,59
1974, 政府应当采用较高的粮食收购价格以增加农民收入。,292,290,72,88
1974, 在华外国资本应享受和民族资本同样的待遇。,186,327,27,202
1974, 市场竞争中自然形成的垄断地位是无害的。,300,317,55,70
1974, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,372,213,46,111
1974, 不应公开谈论自己长辈的缺点。,308,218,189,27
1974, 现代中国社会需要儒家思想。,173,406,60,103
1974, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,412,176,79,75
1974, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,165,431,23,123
1974, 周易八卦能够有效的解释很多事情。,261,270,118,93
1974, 中国传统医学对人体健康的观念比现代主流医学更高明。,342,265,78,57
1974, 汉字无需人为推行简化。,116,369,42,215
1974, 应当将中国传统文化的经典作品作为儿童基础教育读物。,403,235,75,29
1974, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,437,161,106,38
1935,如果人民没有受过民主教育，他们是不应该拥有普选权的。,0,3,1,1
1935, 人权高于主权。,2,1,1,1
1935, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,2,1,0,2
1935, 西方的多党制不适合中国国情。,0,4,0,1
1935, 在中国照搬西方式的言论自由会导致社会失序。,0,4,1,0
1935, 由高校自主考试招生比全国统一考试招生更好。,0,2,2,1
1935, 应该容许宗教人士在非宗教场所公开传教。,1,1,1,2
1935, 无论中小学生或大学生，都应参加由国家统一安排的军训。,1,2,1,1
1935, 国家的统一和领土完整是社会的最高利益。,1,2,2,0
1935, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,2,3,0,0
1935, 国家有义务进行对外援助。,4,0,0,1
1935, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,2,2,0,1
1935, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,1,2,1,1
1935, 应当允许媒体代表某一特定阶层或利益集团发言。,2,2,0,1
1935, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,1,2,0,2
1935, 条件允许的话应该武力统一台湾。,4,0,0,1
1935, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,4,0,1,0
1935, 应该允许中国公民同时具有外国国籍。,1,3,0,1
1935, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,3,2,0,0
1935, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,1,2,2,0
1935, 最低工资应由国家规定。,2,2,1,0
1935, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,3,1,1,0
1935, 在重大工程项目的决策中，个人利益应该为社会利益让路。,4,0,1,0
1935, 浪费粮食也是个人的自由。,1,1,1,2
1935, 如果猪肉价格过高，政府应当干预。,2,3,0,0
1935, 应当对国外同类产品征收高额关税来保护国内民族工业。,1,1,0,3
1935, 教育应当尽可能公立。,1,3,1,0
1935, 国有企业的利益属于国家利益。,4,1,0,0
1935, 试图控制房地产价格的行为会破坏经济发展。,0,4,0,1
1935, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,3,0,2,0
1935, 有钱人理应获得更好的医疗服务。,0,5,0,0
1935, 高收入者应该公开自己的经济来源。,1,3,1,0
1935, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,2,2,1,0
1935, 与其让国有企业亏损破产，不如转卖给资本家。,0,3,1,1
1935, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,4,0,1,0
1935, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,0,3,1,1
1935, 私人应当可以拥有和买卖土地。,2,3,0,0
1935, 政府应当采用较高的粮食收购价格以增加农民收入。,4,0,1,0
1935, 在华外国资本应享受和民族资本同样的待遇。,0,4,0,1
1935, 市场竞争中自然形成的垄断地位是无害的。,0,5,0,0
1935, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,2,3,0,0
1935, 不应公开谈论自己长辈的缺点。,4,1,0,0
1935, 现代中国社会需要儒家思想。,2,2,1,0
1935, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,2,3,0,0
1935, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,3,2,0,0
1935, 周易八卦能够有效的解释很多事情。,3,1,1,0
1935, 中国传统医学对人体健康的观念比现代主流医学更高明。,5,0,0,0
1935, 汉字无需人为推行简化。,1,3,0,1
1935, 应当将中国传统文化的经典作品作为儿童基础教育读物。,2,2,1,0
1935, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,4,1,0,0
1946,如果人民没有受过民主教育，他们是不应该拥有普选权的。,6,9,3,3
1946, 人权高于主权。,4,7,4,6
1946, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,7,6,4,4
1946, 西方的多党制不适合中国国情。,3,13,1,4
1946, 在中国照搬西方式的言论自由会导致社会失序。,10,6,4,1
1946, 由高校自主考试招生比全国统一考试招生更好。,7,6,4,4
1946, 应该容许宗教人士在非宗教场所公开传教。,7,7,3,4
1946, 无论中小学生或大学生，都应参加由国家统一安排的军训。,12,4,3,2
1946, 国家的统一和领土完整是社会的最高利益。,11,3,5,2
1946, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,14,5,1,1
1946, 国家有义务进行对外援助。,5,12,1,3
1946, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,5,4,4,8
1946, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,11,5,4,1
1946, 应当允许媒体代表某一特定阶层或利益集团发言。,6,6,3,6
1946, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,12,5,2,2
1946, 条件允许的话应该武力统一台湾。,13,1,4,3
1946, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,8,7,4,2
1946, 应该允许中国公民同时具有外国国籍。,2,15,3,1
1946, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,4,14,2,1
1946, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,6,3,8,4
1946, 最低工资应由国家规定。,8,4,6,3
1946, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,15,3,2,1
1946, 在重大工程项目的决策中，个人利益应该为社会利益让路。,5,10,1,5
1946, 浪费粮食也是个人的自由。,9,5,4,3
1946, 如果猪肉价格过高，政府应当干预。,13,4,1,3
1946, 应当对国外同类产品征收高额关税来保护国内民族工业。,7,7,2,5
1946, 教育应当尽可能公立。,8,7,3,3
1946, 国有企业的利益属于国家利益。,12,6,2,1
1946, 试图控制房地产价格的行为会破坏经济发展。,2,16,1,2
1946, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,10,4,7,0
1946, 有钱人理应获得更好的医疗服务。,1,16,3,1
1946, 高收入者应该公开自己的经济来源。,8,5,7,1
1946, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,15,2,3,1
1946, 与其让国有企业亏损破产，不如转卖给资本家。,2,10,1,8
1946, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,14,4,3,0
1946, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,9,7,3,2
1946, 私人应当可以拥有和买卖土地。,2,14,3,2
1946, 政府应当采用较高的粮食收购价格以增加农民收入。,9,7,5,0
1946, 在华外国资本应享受和民族资本同样的待遇。,3,15,0,3
1946, 市场竞争中自然形成的垄断地位是无害的。,2,16,0,3
1946, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,3,9,1,8
1946, 不应公开谈论自己长辈的缺点。,11,6,3,1
1946, 现代中国社会需要儒家思想。,8,7,5,1
1946, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,7,8,1,5
1946, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,7,10,0,4
1946, 周易八卦能够有效的解释很多事情。,11,4,4,2
1946, 中国传统医学对人体健康的观念比现代主流医学更高明。,11,4,5,1
1946, 汉字无需人为推行简化。,7,7,6,1
1946, 应当将中国传统文化的经典作品作为儿童基础教育读物。,16,2,2,1
1946, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,11,7,1,2
1934,如果人民没有受过民主教育，他们是不应该拥有普选权的。,2,0,0,0
1934, 人权高于主权。,1,1,0,0
1934, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,1,1,0,0
1934, 西方的多党制不适合中国国情。,0,2,0,0
1934, 在中国照搬西方式的言论自由会导致社会失序。,1,1,0,0
1934, 由高校自主考试招生比全国统一考试招生更好。,1,1,0,0
1934, 应该容许宗教人士在非宗教场所公开传教。,0,2,0,0
1934, 无论中小学生或大学生，都应参加由国家统一安排的军训。,1,1,0,0
1934, 国家的统一和领土完整是社会的最高利益。,2,0,0,0
1934, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,1,1,0,0
1934, 国家有义务进行对外援助。,0,2,0,0
1934, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,1,0,0,1
1934, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,0,2,0,0
1934, 应当允许媒体代表某一特定阶层或利益集团发言。,1,1,0,0
1934, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,1,1,0,0
1934, 条件允许的话应该武力统一台湾。,2,0,0,0
1934, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,2,0,0,0
1934, 应该允许中国公民同时具有外国国籍。,1,0,0,1
1934, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,0,2,0,0
1934, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,2,0,0,0
1934, 最低工资应由国家规定。,1,1,0,0
1934, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,1,1,0,0
1934, 在重大工程项目的决策中，个人利益应该为社会利益让路。,1,1,0,0
1934, 浪费粮食也是个人的自由。,2,0,0,0
1934, 如果猪肉价格过高，政府应当干预。,1,1,0,0
1934, 应当对国外同类产品征收高额关税来保护国内民族工业。,1,1,0,0
1934, 教育应当尽可能公立。,1,1,0,0
1934, 国有企业的利益属于国家利益。,1,1,0,0
1934, 试图控制房地产价格的行为会破坏经济发展。,1,1,0,0
1934, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,0,1,1,0
1934, 有钱人理应获得更好的医疗服务。,1,1,0,0
1934, 高收入者应该公开自己的经济来源。,0,1,0,1
1934, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,2,0,0,0
1934, 与其让国有企业亏损破产，不如转卖给资本家。,0,1,0,1
1934, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,2,0,0,0
1934, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,2,0,0,0
1934, 私人应当可以拥有和买卖土地。,0,2,0,0
1934, 政府应当采用较高的粮食收购价格以增加农民收入。,2,0,0,0
1934, 在华外国资本应享受和民族资本同样的待遇。,0,2,0,0
1934, 市场竞争中自然形成的垄断地位是无害的。,1,1,0,0
1934, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,1,1,0,0
1934, 不应公开谈论自己长辈的缺点。,2,0,0,0
1934, 现代中国社会需要儒家思想。,0,2,0,0
1934, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,1,1,0,0
1934, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,0,2,0,0
1934, 周易八卦能够有效的解释很多事情。,2,0,0,0
1934, 中国传统医学对人体健康的观念比现代主流医学更高明。,1,1,0,0
1934, 汉字无需人为推行简化。,1,1,0,0
1934, 应当将中国传统文化的经典作品作为儿童基础教育读物。,1,1,0,0
1934, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,2,0,0,0
1965,如果人民没有受过民主教育，他们是不应该拥有普选权的。,78,144,22,84
1965, 人权高于主权。,100,94,89,45
1965, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,90,121,90,27
1965, 西方的多党制不适合中国国情。,66,186,8,68
1965, 在中国照搬西方式的言论自由会导致社会失序。,148,106,49,25
1965, 由高校自主考试招生比全国统一考试招生更好。,117,109,71,31
1965, 应该容许宗教人士在非宗教场所公开传教。,156,113,26,33
1965, 无论中小学生或大学生，都应参加由国家统一安排的军训。,150,102,36,40
1965, 国家的统一和领土完整是社会的最高利益。,116,101,89,22
1965, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,166,122,12,28
1965, 国家有义务进行对外援助。,112,136,15,65
1965, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,143,108,34,43
1965, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,159,112,27,30
1965, 应当允许媒体代表某一特定阶层或利益集团发言。,112,116,12,88
1965, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,152,106,43,27
1965, 条件允许的话应该武力统一台湾。,114,136,52,26
1965, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,112,97,82,37
1965, 应该允许中国公民同时具有外国国籍。,110,152,47,19
1965, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,45,215,14,54
1965, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,144,74,80,30
1965, 最低工资应由国家规定。,117,146,37,28
1965, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,179,125,15,9
1965, 在重大工程项目的决策中，个人利益应该为社会利益让路。,165,109,20,34
1965, 浪费粮食也是个人的自由。,137,149,23,19
1965, 如果猪肉价格过高，政府应当干预。,132,118,25,53
1965, 应当对国外同类产品征收高额关税来保护国内民族工业。,141,134,12,41
1965, 教育应当尽可能公立。,109,143,31,45
1965, 国有企业的利益属于国家利益。,201,71,48,8
1965, 试图控制房地产价格的行为会破坏经济发展。,50,215,8,55
1965, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,125,92,106,5
1965, 有钱人理应获得更好的医疗服务。,78,186,23,41
1965, 高收入者应该公开自己的经济来源。,126,95,95,12
1965, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,163,82,56,27
1965, 与其让国有企业亏损破产，不如转卖给资本家。,46,158,5,119
1965, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,176,103,33,16
1965, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,110,152,25,41
1965, 私人应当可以拥有和买卖土地。,120,127,53,28
1965, 政府应当采用较高的粮食收购价格以增加农民收入。,117,133,38,40
1965, 在华外国资本应享受和民族资本同样的待遇。,96,147,18,67
1965, 市场竞争中自然形成的垄断地位是无害的。,91,175,16,46
1965, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,136,102,15,75
1965, 不应公开谈论自己长辈的缺点。,144,80,91,13
1965, 现代中国社会需要儒家思想。,75,194,20,39
1965, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,201,64,38,25
1965, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,99,165,5,59
1965, 周易八卦能够有效的解释很多事情。,134,109,52,33
1965, 中国传统医学对人体健康的观念比现代主流医学更高明。,163,112,32,21
1965, 汉字无需人为推行简化。,57,169,31,71
1965, 应当将中国传统文化的经典作品作为儿童基础教育读物。,191,86,40,11
1965, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,218,53,48,9
1961,如果人民没有受过民主教育，他们是不应该拥有普选权的。,25,52,9,27
1961, 人权高于主权。,38,30,24,21
1961, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,40,39,19,15
1961, 西方的多党制不适合中国国情。,24,64,3,22
1961, 在中国照搬西方式的言论自由会导致社会失序。,48,36,16,13
1961, 由高校自主考试招生比全国统一考试招生更好。,42,37,21,13
1961, 应该容许宗教人士在非宗教场所公开传教。,57,37,3,16
1961, 无论中小学生或大学生，都应参加由国家统一安排的军训。,40,41,15,17
1961, 国家的统一和领土完整是社会的最高利益。,44,25,40,4
1961, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,68,30,5,10
1961, 国家有义务进行对外援助。,44,40,8,21
1961, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,44,48,9,12
1961, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,56,39,9,9
1961, 应当允许媒体代表某一特定阶层或利益集团发言。,37,42,6,28
1961, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,50,39,18,6
1961, 条件允许的话应该武力统一台湾。,39,45,21,8
1961, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,42,33,23,15
1961, 应该允许中国公民同时具有外国国籍。,40,54,12,7
1961, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,18,78,5,12
1961, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,59,22,26,6
1961, 最低工资应由国家规定。,37,57,14,5
1961, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,55,49,5,4
1961, 在重大工程项目的决策中，个人利益应该为社会利益让路。,57,39,7,10
1961, 浪费粮食也是个人的自由。,45,49,11,8
1961, 如果猪肉价格过高，政府应当干预。,46,51,8,8
1961, 应当对国外同类产品征收高额关税来保护国内民族工业。,49,48,3,13
1961, 教育应当尽可能公立。,46,54,4,9
1961, 国有企业的利益属于国家利益。,64,34,13,2
1961, 试图控制房地产价格的行为会破坏经济发展。,15,75,0,23
1961, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,45,28,37,3
1961, 有钱人理应获得更好的医疗服务。,32,61,4,16
1961, 高收入者应该公开自己的经济来源。,46,27,38,2
1961, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,50,33,25,5
1961, 与其让国有企业亏损破产，不如转卖给资本家。,9,59,1,44
1961, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,65,29,16,3
1961, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,46,51,9,7
1961, 私人应当可以拥有和买卖土地。,28,49,21,15
1961, 政府应当采用较高的粮食收购价格以增加农民收入。,38,50,17,8
1961, 在华外国资本应享受和民族资本同样的待遇。,22,58,8,25
1961, 市场竞争中自然形成的垄断地位是无害的。,39,58,4,12
1961, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,30,54,4,25
1961, 不应公开谈论自己长辈的缺点。,48,26,35,4
1961, 现代中国社会需要儒家思想。,35,57,14,7
1961, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,59,24,15,15
1961, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,21,70,4,18
1961, 周易八卦能够有效的解释很多事情。,54,34,18,7
1961, 中国传统医学对人体健康的观念比现代主流医学更高明。,54,35,20,4
1961, 汉字无需人为推行简化。,26,61,11,15
1961, 应当将中国传统文化的经典作品作为儿童基础教育读物。,70,30,13,0
1961, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,70,24,17,2
1941,如果人民没有受过民主教育，他们是不应该拥有普选权的。,0,5,1,4
1941, 人权高于主权。,4,3,3,0
1941, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,3,5,1,1
1941, 西方的多党制不适合中国国情。,2,6,0,2
1941, 在中国照搬西方式的言论自由会导致社会失序。,4,4,2,0
1941, 由高校自主考试招生比全国统一考试招生更好。,4,3,3,0
1941, 应该容许宗教人士在非宗教场所公开传教。,4,3,1,2
1941, 无论中小学生或大学生，都应参加由国家统一安排的军训。,2,7,0,1
1941, 国家的统一和领土完整是社会的最高利益。,2,5,3,0
1941, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,5,4,0,1
1941, 国家有义务进行对外援助。,5,3,1,1
1941, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,5,3,1,1
1941, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,3,7,0,0
1941, 应当允许媒体代表某一特定阶层或利益集团发言。,3,6,0,1
1941, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,3,6,1,0
1941, 条件允许的话应该武力统一台湾。,5,3,2,0
1941, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,6,2,1,1
1941, 应该允许中国公民同时具有外国国籍。,3,5,1,1
1941, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,2,6,1,1
1941, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,3,5,2,0
1941, 最低工资应由国家规定。,5,3,2,0
1941, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,5,3,2,0
1941, 在重大工程项目的决策中，个人利益应该为社会利益让路。,4,5,1,0
1941, 浪费粮食也是个人的自由。,6,3,1,0
1941, 如果猪肉价格过高，政府应当干预。,3,4,2,1
1941, 应当对国外同类产品征收高额关税来保护国内民族工业。,1,7,1,1
1941, 教育应当尽可能公立。,4,4,0,2
1941, 国有企业的利益属于国家利益。,6,2,1,1
1941, 试图控制房地产价格的行为会破坏经济发展。,4,6,0,0
1941, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,6,0,4,0
1941, 有钱人理应获得更好的医疗服务。,1,8,1,0
1941, 高收入者应该公开自己的经济来源。,3,6,1,0
