学历,问题,同意,反对,强烈同意,强烈反对
初中及以下, 在重大工程项目的决策中，个人利益应该为社会利益让路。,1969,1935,382,1075
初中及以下, 浪费粮食也是个人的自由。,1473,2167,616,1105
初中及以下, 如果猪肉价格过高，政府应当干预。,2177,1096,1412,676
初中及以下, 应当对国外同类产品征收高额关税来保护国内民族工业。,1377,2225,275,1484
初中及以下, 教育应当尽可能公立。,1749,2558,371,683
初中及以下, 国有企业的利益属于国家利益。,2077,1903,782,599
初中及以下, 试图控制房地产价格的行为会破坏经济发展。,1307,2509,547,998
初中及以下, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,1065,2016,1179,1101
初中及以下, 有钱人理应获得更好的医疗服务。,1229,2533,560,1039
初中及以下, 高收入者应该公开自己的经济来源。,1491,1961,1179,730
初中及以下, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,2507,1084,1209,561
初中及以下, 与其让国有企业亏损破产，不如转卖给资本家。,1229,1844,301,1987
初中及以下, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,3249,755,1123,234
初中及以下, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,1644,2285,663,769
初中及以下, 私人应当可以拥有和买卖土地。,1788,2288,658,627
初中及以下, 政府应当采用较高的粮食收购价格以增加农民收入。,2519,1449,858,535
初中及以下, 在华外国资本应享受和民族资本同样的待遇。,985,2436,289,1651
初中及以下, 市场竞争中自然形成的垄断地位是无害的。,1786,2198,498,879
初中及以下, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,1492,1972,328,1569
初中及以下, 不应公开谈论自己长辈的缺点。,1859,1785,1271,446
初中及以下, 现代中国社会需要儒家思想。,1043,2748,588,982
初中及以下, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,2448,1535,593,785
初中及以下, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,1235,2633,257,1236
初中及以下, 周易八卦能够有效的解释很多事情。,1773,1843,967,778
初中及以下, 中国传统医学对人体健康的观念比现代主流医学更高明。,2567,1664,747,383
初中及以下, 汉字无需人为推行简化。,1136,2520,502,1203
初中及以下, 应当将中国传统文化的经典作品作为儿童基础教育读物。,2399,1965,633,364
初中及以下, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,2731,1540,682,408
研究生及以上,如果人民没有受过民主教育，他们是不应该拥有普选权的。,10678,10649,3162,4085
研究生及以上, 人权高于主权。,11208,9059,5780,2527
研究生及以上, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,9202,10628,4511,4233
研究生及以上, 西方的多党制不适合中国国情。,9688,12431,2341,4114
研究生及以上, 在中国照搬西方式的言论自由会导致社会失序。,12971,7877,5141,2585
研究生及以上, 由高校自主考试招生比全国统一考试招生更好。,10047,9772,5213,3542
研究生及以上, 应该容许宗教人士在非宗教场所公开传教。,11441,10631,1672,4830
研究生及以上, 无论中小学生或大学生，都应参加由国家统一安排的军训。,9668,9427,3116,6363
研究生及以上, 国家的统一和领土完整是社会的最高利益。,8743,10718,5239,3874
研究生及以上, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,13849,10811,1359,2555
研究生及以上, 国家有义务进行对外援助。,10510,10159,2756,5149
研究生及以上, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,15576,6199,5172,1627
研究生及以上, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,8778,12203,2314,5279
研究生及以上, 应当允许媒体代表某一特定阶层或利益集团发言。,12543,8853,1730,5448
研究生及以上, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,10555,9415,5867,2737
研究生及以上, 条件允许的话应该武力统一台湾。,7576,13429,3030,4539
研究生及以上, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,10140,8057,6604,3773
研究生及以上, 应该允许中国公民同时具有外国国籍。,8389,14978,3005,2202
研究生及以上, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,3937,15820,1560,7257
研究生及以上, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,12889,5402,8838,1445
研究生及以上, 最低工资应由国家规定。,6767,12611,2790,6406
研究生及以上, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,13521,10877,1923,2253
研究生及以上, 在重大工程项目的决策中，个人利益应该为社会利益让路。,13900,9223,1926,3525
研究生及以上, 浪费粮食也是个人的自由。,5706,14491,1567,6810
研究生及以上, 如果猪肉价格过高，政府应当干预。,11636,8584,3475,4879
研究生及以上, 应当对国外同类产品征收高额关税来保护国内民族工业。,9112,11233,1179,7050
研究生及以上, 教育应当尽可能公立。,6816,14753,1159,5846
研究生及以上, 国有企业的利益属于国家利益。,13910,8984,4253,1427
研究生及以上, 试图控制房地产价格的行为会破坏经济发展。,5342,15964,1496,5772
研究生及以上, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,5895,12971,4578,5130
研究生及以上, 有钱人理应获得更好的医疗服务。,7526,15391,2306,3351
研究生及以上, 高收入者应该公开自己的经济来源。,6772,13828,4034,3940
研究生及以上, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,13842,8632,3106,2994
研究生及以上, 与其让国有企业亏损破产，不如转卖给资本家。,11337,10065,1894,5278
研究生及以上, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,17371,6501,3221,1481
研究生及以上, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,9381,13932,1558,3703
研究生及以上, 私人应当可以拥有和买卖土地。,11922,9768,5330,1554
研究生及以上, 政府应当采用较高的粮食收购价格以增加农民收入。,14377,8477,3284,2436
研究生及以上, 在华外国资本应享受和民族资本同样的待遇。,9199,12025,1606,5744
研究生及以上, 市场竞争中自然形成的垄断地位是无害的。,13796,9542,3576,1660
研究生及以上, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,14545,8258,3041,2730
研究生及以上, 不应公开谈论自己长辈的缺点。,9677,11924,4288,2685
研究生及以上, 现代中国社会需要儒家思想。,4991,15464,1968,6151
研究生及以上, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,16003,6966,3284,2321
研究生及以上, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,6383,16241,1070,4880
研究生及以上, 周易八卦能够有效的解释很多事情。,10637,10703,3990,3244
研究生及以上, 中国传统医学对人体健康的观念比现代主流医学更高明。,14061,9928,2845,1740
研究生及以上, 汉字无需人为推行简化。,5255,15234,1215,6870
研究生及以上, 应当将中国传统文化的经典作品作为儿童基础教育读物。,14031,10820,2302,1421
研究生及以上, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,13752,10435,2939,1448
,如果人民没有受过民主教育，他们是不应该拥有普选权的。,423,423,95,122
, 人权高于主权。,434,346,188,95
, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,346,393,133,191
, 西方的多党制不适合中国国情。,370,472,67,154
, 在中国照搬西方式的言论自由会导致社会失序。,461,319,159,124
, 由高校自主考试招生比全国统一考试招生更好。,353,419,135,156
, 应该容许宗教人士在非宗教场所公开传教。,380,446,51,186
, 无论中小学生或大学生，都应参加由国家统一安排的军训。,369,326,167,201
, 国家的统一和领土完整是社会的最高利益。,347,353,269,94
, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,559,356,59,89
, 国家有义务进行对外援助。,480,304,146,133
, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,517,315,133,98
, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,355,441,122,145
, 应当允许媒体代表某一特定阶层或利益集团发言。,403,381,68,211
, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,423,309,245,86
, 条件允许的话应该武力统一台湾。,355,439,151,118
, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,376,310,215,162
, 应该允许中国公民同时具有外国国籍。,277,583,71,132
, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,199,574,110,180
, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,529,170,318,46
, 最低工资应由国家规定。,282,488,114,179
, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,494,395,106,68
, 在重大工程项目的决策中，个人利益应该为社会利益让路。,577,316,60,110
, 浪费粮食也是个人的自由。,229,512,80,242
, 如果猪肉价格过高，政府应当干预。,448,298,156,161
, 应当对国外同类产品征收高额关税来保护国内民族工业。,371,457,65,170
, 教育应当尽可能公立。,337,539,68,119
, 国有企业的利益属于国家利益。,473,375,148,67
, 试图控制房地产价格的行为会破坏经济发展。,232,574,40,217
, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,203,474,177,209
, 有钱人理应获得更好的医疗服务。,293,556,86,128
, 高收入者应该公开自己的经济来源。,268,523,149,123
, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,552,307,116,88
, 与其让国有企业亏损破产，不如转卖给资本家。,387,392,52,232
, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,691,183,149,40
, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,331,523,80,129
, 私人应当可以拥有和买卖土地。,443,406,144,70
, 政府应当采用较高的粮食收购价格以增加农民收入。,583,277,119,84
, 在华外国资本应享受和民族资本同样的待遇。,297,473,41,252
, 市场竞争中自然形成的垄断地位是无害的。,472,404,104,83
, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,419,399,82,163
, 不应公开谈论自己长辈的缺点。,343,462,169,89
, 现代中国社会需要儒家思想。,161,644,68,190
, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,584,306,91,82
, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,263,584,37,179
, 周易八卦能够有效的解释很多事情。,404,398,169,92
, 中国传统医学对人体健康的观念比现代主流医学更高明。,558,346,112,47
, 汉字无需人为推行简化。,236,563,56,208
, 应当将中国传统文化的经典作品作为儿童基础教育读物。,504,438,69,52
, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,499,420,84,60
高中,如果人民没有受过民主教育，他们是不应该拥有普选权的。,8177,8047,2185,2928
高中, 人权高于主权。,8523,6473,4264,2077
高中, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,6057,8765,2762,3753
高中, 西方的多党制不适合中国国情。,6856,9181,1777,3523
高中, 在中国照搬西方式的言论自由会导致社会失序。,7642,8141,2374,3180
高中, 由高校自主考试招生比全国统一考试招生更好。,6710,8326,3026,3275
高中, 应该容许宗教人士在非宗教场所公开传教。,7278,8910,1043,4106
高中, 无论中小学生或大学生，都应参加由国家统一安排的军训。,7920,6544,3034,3839
高中, 国家的统一和领土完整是社会的最高利益。,7076,6338,5871,2052
高中, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,11304,6857,1706,1470
高中, 国家有义务进行对外援助。,9747,5757,3584,2249
高中, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,9943,6045,2875,2474
高中, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,7963,7642,3187,2545
高中, 应当允许媒体代表某一特定阶层或利益集团发言。,7867,7323,1443,4704
高中, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,7434,6908,4924,2071
高中, 条件允许的话应该武力统一台湾。,6269,8994,3308,2766
高中, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,7569,5494,5121,3153
高中, 应该允许中国公民同时具有外国国籍。,4476,11989,1299,3573
高中, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,4486,10290,2617,3944
高中, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,10164,3666,6582,925
高中, 最低工资应由国家规定。,5350,9254,2596,4137
高中, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,9828,7696,1901,1912
高中, 在重大工程项目的决策中，个人利益应该为社会利益让路。,9906,7170,1431,2830
高中, 浪费粮食也是个人的自由。,4914,9722,1639,5062
高中, 如果猪肉价格过高，政府应当干预。,9760,4991,4192,2394
高中, 应当对国外同类产品征收高额关税来保护国内民族工业。,6601,9110,863,4763
高中, 教育应当尽可能公立。,6902,10896,1249,2290
高中, 国有企业的利益属于国家利益。,9541,7316,3135,1345
高中, 试图控制房地产价格的行为会破坏经济发展。,5469,10490,1434,3944
高中, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,4104,8640,3640,4953
高中, 有钱人理应获得更好的医疗服务。,5380,11096,1685,3176
高中, 高收入者应该公开自己的经济来源。,5898,9126,3801,2512
高中, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,10908,5281,3260,1888
高中, 与其让国有企业亏损破产，不如转卖给资本家。,6658,7934,1004,5741
高中, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,14176,2753,3860,548
高中, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,7032,9875,1810,2620
高中, 私人应当可以拥有和买卖土地。,8282,8958,2536,1561
高中, 政府应当采用较高的粮食收购价格以增加农民收入。,11803,5115,2922,1497
高中, 在华外国资本应享受和民族资本同样的待遇。,5038,9778,973,5548
高中, 市场竞争中自然形成的垄断地位是无害的。,8814,8263,2012,2248
高中, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,7752,8108,1289,4188
高中, 不应公开谈论自己长辈的缺点。,7037,8601,3793,1906
高中, 现代中国社会需要儒家思想。,3323,11899,1629,4486
高中, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,10943,6045,2092,2257
高中, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,4814,11504,641,4378
高中, 周易八卦能够有效的解释很多事情。,8033,7455,3671,2178
高中, 中国传统医学对人体健康的观念比现代主流医学更高明。,10831,6948,2474,1084
高中, 汉字无需人为推行简化。,4778,11121,1385,4053
高中, 应当将中国传统文化的经典作品作为儿童基础教育读物。,10306,8484,1730,817
高中, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,10442,7843,1865,1187
